submap_id,timestamp,confidence,information,robot_x_var,robot_y_var,robot_theta_var,num_landmarks
0,9300000000,0.0073700660813609264,7397.359202473531,0.0034711664622577992,0.006835247215527088,0.00047620571303614223,4
1,14491000000,0.008446380478644877,8482.253290004895,0.003306235695038385,0.006759606882109227,0.0004068702357583379,4
2,19484000000,0.8703239299141036,2042715.7067185983,8.817217521873637e-06,4.861017945063184e-06,3.2583938327943387e-06,3
3,24485000000,0.6840711591302555,1152238.2778747133,0.0004711163339350389,2.1141892451611665e-05,4.862115757472121e-06,2
4,29500000000,0.6831230594203461,1149241.7805381909,0.001568580454759043,3.146906202172868e-05,3.8116266229048843e-06,2
5,34499000000,0.8618258856441467,1979240.6908664657,0.001977115196636504,1.0754321303822785e-05,1.8355594076943702e-06,2
6,39490000000,0.9060481714353797,2364973.0901442096,0.0019922634387441952,5.5081640095031565e-06,1.3536119857464251e-06,2
7,44500000000,0.8743233345092376,2074042.8171279724,0.0019703665591964937,1.6963817948416372e-05,1.4826291597026981e-06,2
8,49500000000,0.9571908399980156,3151003.1805551737,0.0012496665932976104,1.794586491654416e-05,1.4869629289759856e-06,4
9,54500000000,0.9604528403034216,3230261.4028573576,7.743309702777474e-06,9.62029752073137e-06,1.220003093204371e-06,3
10,59500000000,0.8980961303802819,2283725.364796185,8.223422081531909e-06,1.714231174108141e-05,2.4074832849609552e-06,3
11,64500000000,0.6611002352080912,1082050.8944032798,0.0008182696278638091,0.0006352640768324406,9.258117802647008e-06,2
12,69500000000,0.667306114287634,1100532.4739072649,0.0009111479485973586,0.0007173431297166531,8.088193573673396e-06,3
13,74498000000,0.6942640887660835,1185033.5848423096,0.00039258630788497955,0.0007160291213511291,8.661244359429644e-06,4
14,79500000000,0.8465259490834093,1874223.7756486642,1.8976119444772682e-05,0.00010208178116209469,2.0539478446810796e-06,3
15,84480000000,0.9998337187253973,8701829.778209127,0.00013814368455529615,5.045049403855732e-05,2.788952637449501e-06,9
16,89500000000,0.7645370138173133,1446201.5490771343,0.001620643922005274,0.00046152389235985336,4.983809770277629e-06,5
17,94500000000,0.8667711172350426,2015686.7068069624,0.0016616288253548678,0.0002440187916768391,3.5871868405734932e-06,4
18,99491000000,0.9998581137384623,8860484.796401896,0.0007862880208311729,3.4297169734599545e-05,2.8379944316024323e-06,8
19,104496000000,0.9995948330433843,7811211.337247325,0.00011762042643607199,5.84585827980842e-05,4.399917919549771e-06,8
20,109496000000,0.932681356272238,2698318.0565089127,0.00024582156190663994,0.000451303085870736,1.0029643653757575e-05,7
21,114496000000,0.9792091781545964,3873243.6470900937,0.00025506230861236593,0.00035291871268371583,3.1600299232821298e-06,8
22,119500000000,0.9999961946846118,12479111.682234978,6.659816923717208e-05,3.531528478334271e-05,2.522191084010284e-06,6
